make,fuel-type,aspiration,body-style,drive-wheels,engine-location,engine-type,fuel-system
alfa-romero,diesel,std,convertible,4wd,front,dohc,1bbl
audi,gas,turbo,hardtop,fwd,rear,dohcv,2bbl
bmw,,,hatchback,rwd,,l,4bbl
chevrolet,,,sedan,,,ohc,idi
dodge,,,wagon,,,ohcf,mfi
honda,,,,,,ohcv,mpfi
isuzu,,,,,,rotor,spdi
jaguar,,,,,,,spfi
mazda,,,,,,,
mercedes-benz,,,,,,,
mercury,,,,,,,
mitsubishi,,,,,,,
nissan,,,,,,,
peugot,,,,,,,
plymouth,,,,,,,
porsche,,,,,,,
renault,,,,,,,
saab,,,,,,,
subaru,,,,,,,
toyota,,,,,,,
volkswagen,,,,,,,
volvo,,,,,,,
